"nome_uf","nome_mun","cnes","tipo_cnes","vinc_sus","n_cnes","tipopremat_espontaneo","tipopremat_eletivo","consprenat_menor_que_6_consultas","indice_de_gini_2010_municipio","idhm_2010_municipio","cluster"
"RIO DE JANEIRO","MARICA","2266733","Urbano","1",1114,0.0700179533213645,0.00269299820466786,0.191202872531418,0.49,0.765,"2"
"RIO DE JANEIRO","MESQUITA","7011857","Urbano","1",6731,0.035507354033576,0.0251077105927797,0.26979646412123,0.47,0.737,"4"
"RIO DE JANEIRO","MIGUEL PEREIRA","2283239","Urbano","1",528,0.0814393939393939,0.0246212121212121,0.236742424242424,0.55,0.745,"2"
"RIO DE JANEIRO","MIRACEMA","2285932","Urbano","1",317,0.107255520504732,0.0883280757097792,0.0977917981072555,0.5,0.713,"1"
"RIO DE JANEIRO","NATIVIDADE","2276267","Rural","1",186,0.021505376344086,0.00537634408602151,0.145161290322581,0.52,0.73,"2"
"RIO DE JANEIRO","NILOPOLIS","5073898","Urbano","0",3298,0.139478471801092,0.0154639175257732,0.0570042449969679,0.45,0.753,"4"
"RIO DE JANEIRO","NITEROI","12505","Urbano","1",371,0.0835579514824798,0.185983827493261,0.194070080862534,0.59,0.837,"1"
"RIO DE JANEIRO","NITEROI","12521","Urbano","1",2912,0.10782967032967,0.148351648351648,0.273351648351648,0.59,0.837,"1"
"RIO DE JANEIRO","NITEROI","3065634","Urbano","0",1501,0.0346435709526982,0.0819453697534977,0.0126582278481013,0.59,0.837,"1"
"RIO DE JANEIRO","NITEROI","5042488","Urbano","1",1625,0.0246153846153846,0.00923076923076923,0.184,0.59,0.837,"4"
"RIO DE JANEIRO","NITEROI","6734014","Urbano","0",1082,0.0471349353049908,0.088724584103512,0.0286506469500924,0.59,0.837,"1"
"RIO DE JANEIRO","NOVA FRIBURGO","2271826","Urbano","1",1363,0.00146735143066764,0.00220102714600147,0.202494497432135,0.51,0.745,"2"
"RIO DE JANEIRO","NOVA FRIBURGO","2272695","Urbano","1",276,0.036231884057971,0.0181159420289855,0.0289855072463768,0.51,0.745,"2"
"RIO DE JANEIRO","NOVA FRIBURGO","2298090","Urbano","0",425,0.0611764705882353,0.0752941176470588,0.0494117647058823,0.51,0.745,"1"
"RIO DE JANEIRO","NOVA IGUACU","3019527","Urbano","0",400,0.0325,0.085,0.01,0.48,0.713,"2"
"RIO DE JANEIRO","NOVA IGUACU","7591136","Urbano","1",6816,0.0620598591549296,0.0429870892018779,0.260416666666667,0.48,0.713,"4"
"RIO DE JANEIRO","PARACAMBI","2279355","Urbano","1",222,0.0225225225225225,0.0225225225225225,0.193693693693694,0.44,0.72,"2"
"RIO DE JANEIRO","PARACAMBI","2279525","Urbano","0",1560,0.00128205128205128,0.0448717948717949,0.118589743589744,0.44,0.72,"2"
"RIO DE JANEIRO","PARAIBA DO SUL","2276186","Urbano","1",236,0.0296610169491525,0.0593220338983051,0.0508474576271186,0.5,0.702,"2"
